id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,sparkline_in_7d
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,89688.0,1789988850785,1,1789988850785,42873615757,91280.0,88421.0,-955.310071387692,-1.05392,-17577635734.44336,-0.97245,19958337.0,19958337.0,21000000.0,126080.0,-28.86733,2025-10-06T18:57:42.558Z,67.81,132159.71118,2013-07-06T00:00:00.000Z,,2025-12-06T14:11:11.976Z,"{'price': [90682.38876677728, 90643.83762875079, 90792.77747104311, 90657.75590554604, 91040.54640850973, 91010.85460130044, 90475.97662592627, 90712.0028373462, 90673.14817788692, 90947.02454728537, 91032.09673034618, 90788.7597853794, 90841.45258193677, 90869.67603539713, 90938.30683585707, 90802.75505671403, 90892.89987772267, 90858.18783526495, 90820.86657093189, 90901.61050740648, 90980.08369172398, 91245.5298446914, 91415.59812963865, 91250.35811895505, 91080.50963597072, 91435.84477550915, 91751.81702045338, 91446.98814551288, 91475.5890645801, 91814.62353308922, 91477.54598695686, 91455.11137688499, 91440.20549816827, 91314.55693607975, 91176.29202753108, 91159.28211972128, 90359.86873169734, 87107.57804601092, 87209.3202760441, 86607.95806802201, 86347.62398034424, 85788.16096067103, 85996.54791593562, 86248.96829120435, 86509.66964426964, 86828.86588088673, 86711.05550833189, 86632.27972318193, 86262.5310475135, 85452.87201488385, 85992.51478024718, 86023.91194853347, 84634.95418600549, 84553.51608407828, 84958.90011684994, 85230.8975559526, 85003.07161606019, 85607.92665356252, 86425.82291576332, 86642.17601166596, 86281.49519776918, 86589.01329234689, 86431.01161842069, 86639.7190996139, 86979.2416342632, 86999.26753257588, 87009.82948356986, 87094.35617736231, 87032.32838561568, 86418.6233251056, 86789.61201168034, 87283.4200046968, 87372.145785899, 87310.28717151324, 87676.27574943205, 89212.56733407508, 90929.17033076797, 90988.35289671065, 91516.49010026302, 92003.14962051474, 91925.7686665393, 91006.60257571642, 91642.26634875845, 91972.84712515515, 91320.07942505727, 91587.10768114813, 92305.80571530102, 92804.99277281489, 92694.94244803755, 93148.20270941404, 93673.50779118965, 93405.41156538975, 92997.38296608128, 92758.94715524407, 93187.76365353932, 92967.95172916472, 93014.56287493998, 92955.9934046737, 93155.5710477267, 92689.18467540754, 92462.71285159403, 92358.91089703525, 92991.34046933519, 92701.01925701783, 93042.76426891205, 92956.21718894965, 93748.59078386276, 93717.47149577878, 93428.59451478458, 93035.40920589627, 93194.86563225763, 93855.83582607246, 93567.32981233204, 93361.27533623583, 92899.65881208924, 93124.7224503544, 93344.22464629909, 93162.29916189116, 93576.35582972465, 93249.89554012878, 92962.28988355577, 92982.88944879391, 92532.02394137291, 92053.41845475078, 92596.47508142228, 92349.10012511045, 92448.2278390964, 92131.16632716786, 92068.62882915599, 92469.36285556007, 92194.78324592086, 92349.58095934307, 92140.70419795791, 92302.08974651141, 92370.2072229294, 92527.8315926902, 92302.35560866309, 92070.48457147281, 91921.18210371182, 92263.3299565551, 92244.84957275762, 92114.99015350078, 91133.25125696731, 91321.13588701593, 91367.32047901883, 91261.71327040567, 90495.89880179014, 90239.62309417447, 90691.05834616034, 88838.81256963374, 89320.67330009381, 88971.13700892155, 89661.0097557126, 89319.18628091525, 89168.6188930498, 89246.76255414792, 89307.09154512963, 89411.87151142707, 89313.00635292601, 89404.64876063257, 89659.75706048295, 89670.35753876393, 89596.5402589313, 89700.0501824711, 89610.67940053929, 89322.01341173225, 89590.58493068343, 89523.29215522746]}"
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3036.15,366542239228,2,366542239228,21423604358,3144.61,2995.5,-73.57753804677395,-2.36604,-8130169231.15271,-2.16994,120695413.6334815,120695413.6334815,,4946.05,-38.60254,2025-08-24T19:21:03.333Z,0.432979,701261.71116,2015-10-20T00:00:00.000Z,"{'times': 44.26049874784472, 'currency': 'btc', 'percentage': 4426.049874784472}",2025-12-06T14:11:12.840Z,"{'price': [3000.9863457152433, 2997.7140667909166, 2999.2182318468076, 2988.95841647194, 3007.3841335094107, 3003.463938139528, 2972.5957101265117, 2995.6770369312326, 2988.8300312273086, 2996.5279311094837, 2994.8762103607105, 2989.5765006910274, 2989.6497957851875, 2996.959093008609, 3005.748040088813, 2992.0156451657394, 3002.368989935004, 2998.687663238271, 2992.6779303620833, 2998.1315272158818, 3005.76690692482, 3006.660794691906, 3010.457240538004, 3009.750263451871, 3004.2341178491356, 3026.881019788104, 3049.209070185915, 3034.7820885116585, 3028.1658564161344, 3046.1575476597177, 3039.9862718314516, 3036.946954209921, 3035.7070581322882, 3028.78272155379, 3022.320819227035, 3028.4239287167156, 2992.8341859495977, 2835.9897717977774, 2851.4524853309895, 2841.153827431813, 2825.2971249263783, 2821.5655640465543, 2828.2239421541994, 2824.315380121469, 2839.6944955044764, 2838.3493998954973, 2839.88355717161, 2843.7008451954457, 2838.6443712307328, 2823.2105022338997, 2818.34049219424, 2810.429356268784, 2751.3879665926193, 2736.0108494110395, 2740.4152542964084, 2750.6238136188886, 2739.998599158972, 2761.830486203416, 2788.5638398011774, 2800.0661798716346, 2799.0367919901605, 2794.5607592511747, 2794.7500938115713, 2804.1367923157604, 2804.972942725627, 2807.3766975144695, 2802.1698700225083, 2812.806679533729, 2806.3504019840325, 2796.800834992008, 2799.719928172288, 2826.345202906178, 2826.885024621273, 2825.301864711149, 2840.780495539455, 2890.1238144012623, 3008.6161655998612, 2998.270036729145, 3019.1929694987543, 3014.9148404147263, 3016.603862723867, 2983.294347770373, 2994.8951554637506, 3017.3720325477584, 2997.602427194639, 3004.1952039031494, 3023.6878006063002, 3033.651492300093, 3032.163337073482, 3057.3726367638055, 3059.4781822319487, 3066.0787118830694, 3061.289868556398, 3051.3402822593216, 3060.488672605812, 3058.5894431755346, 3073.294438767537, 3081.678097624113, 3090.4728733612587, 3088.6239745924463, 3082.859239994965, 3095.6337767628575, 3129.884822842987, 3115.752082640604, 3129.086642262008, 3136.8757607989596, 3165.710353031727, 3181.828530684049, 3188.8819447300766, 3197.3041028785615, 3203.169028604192, 3222.399099971185, 3209.8877250954165, 3193.1590411707025, 3186.228083644592, 3206.972277794157, 3191.554369753205, 3181.293990007959, 3203.8688172179914, 3187.803498017305, 3187.1474456513524, 3175.7751027727913, 3170.9969019328787, 3155.273805258007, 3190.8521304219657, 3168.0640119593745, 3161.4167415341917, 3139.0723763658675, 3123.80054275793, 3141.6353057739198, 3124.019513022045, 3142.1516337263515, 3133.698235618616, 3146.6279087265966, 3165.2341613508775, 3184.222388263133, 3171.9530011042198, 3171.8549874746277, 3154.586668576587, 3169.2557401234785, 3173.7764056083556, 3155.2061172195154, 3124.6073292936226, 3132.671409301684, 3131.4205176017485, 3128.8591205298862, 3100.2725814303435, 3102.194306090899, 3105.7322291414757, 3033.297854317554, 3032.6665830263146, 2995.6169409293184, 3038.9460134152146, 3025.2732630366, 3018.876648042432, 3026.2450089202616, 3022.6564205232035, 3025.8021005932865, 3026.5490559343098, 3029.439354340614, 3038.6696750423907, 3036.9815513727804, 3036.774829831104, 3040.1680821223345, 3026.5640369026924, 3016.27172190789, 3030.534411870339, 3031.769643536991]}"
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,132.95,74450673747,7,81842539259,3691751817,136.18,131.2,-3.0771893243731085,-2.26222,-1665197050.4606476,-2.18771,559895501.6295221,615484954.8887483,,293.31,-54.65854,2025-01-19T11:15:27.957Z,0.500801,26455.83154,2020-05-11T19:35:23.449Z,,2025-12-06T14:11:17.734Z,"{'price': [137.34664233569353, 136.99659361583625, 136.9248680723643, 136.6708224118418, 137.48747132540336, 137.67191467612548, 136.36854858825086, 135.7247084475853, 135.7719551354518, 136.12629211352217, 136.47127874391322, 135.87117435133692, 136.08875145366935, 135.98324105427977, 136.35935209203222, 135.95339336267324, 136.37092230715953, 136.36744217727588, 135.8654780020985, 136.36326447837473, 136.53947098860863, 136.7756171740388, 136.72172919607826, 136.69798993986063, 136.45619748067233, 137.4833002231738, 139.2054846722336, 138.38349587546188, 138.22526526466328, 139.65192388188618, 138.46192386182443, 138.45310132340083, 137.64932558272884, 137.2532657001861, 137.04137078385412, 137.4333493421677, 133.82640627084265, 128.10692336049559, 128.01199713354833, 127.72604570524175, 126.99759735449753, 126.38940178779696, 126.14372331856498, 126.63195043911601, 127.28751953742817, 127.64670530626387, 126.98704955849817, 127.10020798360581, 127.09023026358355, 126.63119353758955, 126.46459505648194, 126.14542802032621, 125.20721662672386, 123.64348311018134, 124.57398553532644, 124.36005697990521, 123.87041537027467, 124.54241951082301, 125.7786825903228, 127.05033936489419, 126.74719818442522, 127.19859267057421, 127.00393966318757, 127.36555892900621, 127.32750631779841, 127.20671659384051, 126.77195452103629, 127.69443609942459, 127.16413658651649, 126.16218414446986, 126.81938988318251, 128.3627315652832, 128.32277525777764, 128.7382203766637, 130.64738269931703, 132.83832695594202, 138.07416954417366, 139.2328520911178, 139.613398077441, 139.87266045400992, 140.25921391421818, 138.7135849153517, 138.92964659048607, 139.78151352181186, 138.67222008976705, 138.31463648452572, 138.7745927726701, 139.99575271641538, 140.35589693209403, 142.23819162380192, 143.0217335062413, 142.42806197086816, 142.05621673487227, 142.16909753529407, 142.03771724490863, 141.4348683817232, 141.67677984730355, 141.9308547516881, 141.862396114114, 141.7265109827063, 141.17719578792466, 141.2136571337747, 141.94200474084386, 141.17277350198506, 141.32401733876793, 141.56819113267954, 144.80490010415087, 144.37814223466768, 144.82904690237106, 145.01978664059118, 144.32996499359814, 145.64329060517505, 144.7546953821299, 144.13140401555364, 143.21599468762824, 143.98752038282868, 143.51151775857556, 142.98231894185994, 143.9684986495305, 143.4560531775793, 143.07048043968047, 142.89286589197908, 142.17229720327404, 142.19303146902044, 142.90114198847263, 142.53010860966344, 141.73508469012918, 140.6729572151254, 139.75155638254685, 140.2779562939435, 139.1059198173552, 139.4972428524347, 139.0035856702843, 139.30246404773095, 139.97380352958365, 139.95634436226695, 138.7900989640614, 138.38648148510612, 137.97187752317052, 138.89160293091584, 139.73687633311656, 138.15402248129317, 136.4269665792376, 137.7228485952106, 137.02508053946397, 136.78449231251227, 136.1875740247765, 134.93971055275986, 135.2558964465052, 132.19163588684313, 132.2871742301081, 131.26976713405247, 132.58165297770603, 132.5719207245686, 132.23834816065153, 132.74409003994413, 133.19940782316152, 133.43894897198754, 133.56218012003325, 133.39274127246352, 133.701914523475, 133.2523542516813, 133.0548900764032, 132.9742141916669, 132.80862113559178, 132.06852353411148, 132.58866848703042, 132.70979870520128]}"
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.139695,22579286998,10,22580941553,1022966016,0.143779,0.137666,-0.003353689797170212,-2.34444,825978975.0,3.79703,161577462798.579,161589302798.579,,0.731578,-80.88085,2021-05-08T05:08:23.458Z,8.69e-05,160849.8699,2015-05-06T00:00:00.000Z,,2025-12-06T14:11:11.961Z,"{'price': [0.14952008515648627, 0.1493656975900056, 0.149022456788591, 0.14851167579304816, 0.14956251170363924, 0.14902662571553232, 0.14790200469092663, 0.14813397626481353, 0.14822928217639483, 0.14857998425690383, 0.14895633805493871, 0.14813531740824265, 0.14843656029008215, 0.14863618783931423, 0.14899382174046583, 0.14864221698815572, 0.1491820631479336, 0.149198535786446, 0.14889403007370874, 0.14892324799973383, 0.14926280130547107, 0.14926538131270084, 0.1493893623829317, 0.1490821392906419, 0.14888492226833033, 0.14959311603924824, 0.15050364156497661, 0.14942881253373058, 0.1493284834583913, 0.15046113876093328, 0.1500411674692842, 0.14989810758957683, 0.14975893999630793, 0.14962093974630378, 0.14878621258754585, 0.14897191228119183, 0.14624497331907071, 0.1391344236077395, 0.1393899857519343, 0.1385605603233145, 0.1372438255006904, 0.13688807835147843, 0.13714634142194276, 0.13707737282721935, 0.13752634864249122, 0.1381400913475025, 0.13707801096261488, 0.1372266436755198, 0.13694943511102664, 0.1360803505200548, 0.13520306991508665, 0.13494680049262078, 0.13380630478470126, 0.13255055494584794, 0.13301347265949898, 0.13285993609711425, 0.13319425340882698, 0.13381028821807636, 0.13500030336348295, 0.13612710838746228, 0.13577829077263187, 0.13564128997619262, 0.13580478495329637, 0.1359576974525184, 0.13645026088713427, 0.13625273707044344, 0.13587551428547143, 0.13617789287781082, 0.13559523827712444, 0.13468367384965346, 0.1357057304679155, 0.13673868495229213, 0.1369925499762282, 0.13703489844567954, 0.13794720321894105, 0.14159427912016093, 0.14651128020234408, 0.14586713262138984, 0.146379338980247, 0.1462244644297261, 0.14610536752696784, 0.14525405156073745, 0.14578067664366445, 0.14658620352573096, 0.14610777122799323, 0.14626644348706294, 0.14639186202769386, 0.14727535450150092, 0.14746448114094962, 0.14896981314748092, 0.15059516516331423, 0.15044608031949327, 0.15050512558415569, 0.1506139450813926, 0.15014695596511676, 0.14970634416367015, 0.15006263065100714, 0.14991894862585692, 0.1494190194733102, 0.14908427190510112, 0.14924142427950088, 0.1501312107961081, 0.15143821185088463, 0.15098043236564895, 0.15065936084413875, 0.15087942846810296, 0.15195158774099957, 0.1524082057269667, 0.1518392325864058, 0.15164253221646948, 0.1513306628711899, 0.1520926500117867, 0.1511301913552747, 0.15094135927145888, 0.1501084104732469, 0.15039951015558284, 0.14992734764448926, 0.14945807890680057, 0.15011732423018542, 0.14961758002231706, 0.14941501233033175, 0.14944232297023577, 0.1490971550583721, 0.1486762478377022, 0.15006486899055685, 0.1491929769337055, 0.14908820076387644, 0.14851523799725438, 0.1480687498412341, 0.14835064724662297, 0.1476057507332339, 0.14798038175676773, 0.14750673884052382, 0.14788914052402652, 0.1480137251990602, 0.1479910203074182, 0.14755407681167623, 0.1468270686400236, 0.14642588560080208, 0.14693172864732182, 0.14738740321648386, 0.14636671651349442, 0.14435980982366717, 0.14484934814921147, 0.14430703319420546, 0.14450290221314194, 0.1433067977535632, 0.1424101319284546, 0.1428380164249634, 0.13882743838033407, 0.1387207784326056, 0.13771586055612509, 0.1390769887471641, 0.13832302809055527, 0.13860750018412257, 0.13922795213490088, 0.1395574899025586, 0.1398506452397473, 0.1399210023334832, 0.13950212936492656, 0.14006454518783704, 0.1395928275316405, 0.13933344803175624, 0.13912049342980135, 0.13936992205359286, 0.1385748220660728, 0.13928068803429755, 0.13918848513738236]}"
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.41249,15116884106,11,18568475263,486866759,0.429496,0.410247,-0.014362491751268025,-3.36474,-497989491.86540985,-3.1892,36635198912.50997,45000000000.0,45000000000.0,3.09,-86.62397,2021-09-02T06:00:10.474Z,0.01925275,2044.66115,2020-03-13T02:22:55.044Z,,2025-12-06T14:11:11.129Z,"{'price': [0.41882089094139124, 0.4177014143309326, 0.4172163293899726, 0.4163224940922868, 0.419565515964459, 0.41922885677214605, 0.41457264131314575, 0.41578983598776265, 0.41456851243756776, 0.4163358470624267, 0.41760974886205915, 0.41535319159774126, 0.41526563747559847, 0.4145687725379363, 0.4158228914795766, 0.41496672839139154, 0.4183180656069686, 0.41818891877550957, 0.41639753275152575, 0.4166476047928854, 0.418731986674527, 0.4186639411954114, 0.4192123036727668, 0.41951438574809985, 0.41762912468450775, 0.4217955848895914, 0.42614243965599385, 0.4243909785077956, 0.4228559677575626, 0.4252823983343302, 0.42513975665244186, 0.42497015230696866, 0.42538006089425495, 0.4243838919321127, 0.4236248915257139, 0.42378251235503545, 0.4159030076033001, 0.3906250560272012, 0.39059584818608456, 0.3908626900990492, 0.38562360446691424, 0.38412522484475564, 0.38462779639493705, 0.3836762888172221, 0.38740846239101534, 0.38800338235723697, 0.38511169555366903, 0.38584553627143864, 0.38292806778361393, 0.379259513034059, 0.37876252680236344, 0.3806872001379231, 0.37612454198954354, 0.3722277809726899, 0.37524127630560955, 0.3785628447142546, 0.37641166626116, 0.3779600886404848, 0.38136221817062743, 0.38445976075367255, 0.3859166718295545, 0.38652622448439633, 0.38656908275231444, 0.3895821635318821, 0.3919025122076205, 0.3909202652972854, 0.39034651265261133, 0.39170800861621785, 0.3898588569270712, 0.38620289027792454, 0.38745477580135823, 0.3922182915334123, 0.39361655632141385, 0.3952820542934287, 0.39793286564380453, 0.4065814511967562, 0.42847213606369344, 0.42987967959639684, 0.4307954033211019, 0.43022386838158233, 0.4350838934668534, 0.43442669400794504, 0.43706066994846077, 0.4367533424848161, 0.43357515433135413, 0.4343676705241725, 0.4369255001345137, 0.4381409552055927, 0.4383610564231131, 0.4396116523165456, 0.4417139587988354, 0.44509035009871517, 0.4430149939096179, 0.4447683594339233, 0.44064599884427635, 0.4387467753255362, 0.4370665197971126, 0.4355363482460483, 0.4363787872769843, 0.4341880933228402, 0.4353163797790144, 0.43799135555197904, 0.44318823797074103, 0.44224581856431366, 0.44489822867283313, 0.4457065615574041, 0.4518909760684033, 0.45037629526662715, 0.4503610007370615, 0.4509597135916842, 0.45012619479472676, 0.4497813280465341, 0.44905634058743216, 0.4471381414735694, 0.44770093467181143, 0.45191244977758716, 0.45220591345645406, 0.448164924230627, 0.450227901128312, 0.44591560404383546, 0.4465379270225588, 0.44690672423797995, 0.44435333404811844, 0.4420472305865721, 0.44977432560945646, 0.4486333570080908, 0.44442321741708213, 0.4426566311937307, 0.4420134194324455, 0.4436654892663468, 0.4389930875571066, 0.44026523759782105, 0.43941610845250884, 0.44107182023166747, 0.4401977402580448, 0.4416996987769918, 0.440183808449024, 0.44001687153440283, 0.43655831647896015, 0.43957519995098576, 0.4416943537493946, 0.43782878169399564, 0.4308205286883586, 0.4319997453533257, 0.43064649704838404, 0.43065018736165644, 0.42669154213138144, 0.42427389502210044, 0.42620956411656896, 0.4121300094083752, 0.4148567735108802, 0.4110307756163624, 0.4164593140955211, 0.41439046374076716, 0.41395301233858056, 0.4166202337152983, 0.4160575632488133, 0.4149498354480822, 0.4163064071745241, 0.41434886815711075, 0.4165088200782308, 0.414599753152229, 0.414101278217236, 0.4126081180306813, 0.4119965505733928, 0.4104229909400821, 0.41297670237078105, 0.4119660463022519]}"
